name,color,sex,country,grumpy,fearful_of_people,playful,friendly_to_people,clumsy,greedy,owner_phone,birthday
Gizmo,salt and pepper,Female,Canada,1,1,6,7,3,2,651-2383466,01/01/2006
Godzilla,orange,Female,USA,1,4,4,4,1,4,651-1606689,07/28/2014
Whispurr,salt and pepper,Female,France,5,3,6,5,5,7,651-6569977,06/22/2011
Charlotte,brown,Male,Peru,1,4,5,5,2,2,651-4117363,01/17/2001
Tang,peaches and cream,Female,New Zealand,2,4,5,3,2,2,651-5903016,04/19/2016
Bacchis,grey and black,Female,Australia,5,5,4,5,2,4,651-8874830,04/22/2000
Agrippa,salt and pepper,Male,China,1,1,7,7,1,7,651-8503275,12/14/2016
Echo,grey,Female,Peru,3,6,4,2,1,6,651-5535496,10/03/2003
Donovan,butterscotch,Male,Australia,2,4,5,4,6,3,651-4908387,12/11/2009
Flynn,brown,Male,China,2,5,6,4,6,5,651-2764298,12/21/2012
Bob Meowerly,striped,Male,France,2,1,6,7,5,2,651-8818266,05/05/2013
Treacle,tabby,Female,Peru,1,2,6,6,2,2,651-3469924,09/17/2013
Saffy,tabby,Female,New Zealand,1,3,6,6,2,6,651-5512499,02/26/2003
Maeve,striped,Female,France,2,1,6,7,2,3,651-2237735,12/24/2008
Nuts,white,Female,China,1,1,7,7,3,3,651-2268512,03/24/2012
Rudolph,striped,Female,Thailand,2,4,5,6,1,5,651-3018527,10/06/2012
Zoltan,white,Female,Australia,2,1,6,6,1,1,651-4480668,11/27/2019
Cognac,grey,Male,Australia,1,1,7,7,1,6,651-5284870,09/01/2007
iCat,grey and brown,Male,Canada,1,1,2,5,1,3,651-7334736,10/31/2011
Wendy,black,Female,USA,2,5,7,2,2,4,651-4563194,06/23/2015
Rasputin,black,Female,France,2,1,5,7,1,2,651-8104717,12/18/2017
Flynn,peaches and cream,Female,China,1,1,6,5,1,1,651-3226405,07/03/2001
Flo,black,Male,France,1,2,4,5,1,5,651-2049857,06/16/2016
Buster,grey and brown,Female,Canada,2,1,3,7,1,3,651-1590820,02/17/2015
Macavity,black,Male,Thailand,5,6,3,4,1,5,651-4611924,10/05/2015
Zula,orange,Female,Germany,3,1,6,7,3,7,651-4664401,05/18/2015
Treble,orange,Female,New Zealand,5,3,4,6,1,3,651-8480868,11/29/2001
Gandhi,orange,Male,Germany,1,5,6,6,4,2,651-6052192,01/27/2015
Hennessy,striped,Female,Germany,4,5,6,5,2,2,651-6293883,11/26/2015
Aesop,orange,Female,Thailand,3,4,3,4,2,1,651-8653545,06/30/2016
Bug,grey,Male,Peru,1,5,6,3,5,4,651-6422188,02/06/2005
Mojo Jojo,grey and black,Male,Germany,2,1,6,4,6,1,651-3167723,05/10/2012
Chewy,black,Female,France,2,4,4,5,5,1,651-7185890,03/14/2008
Reagan,tabby,Female,UK,3,4,3,4,2,5,651-2943183,11/11/2015
Posey,salt and pepper,Female,USA,4,2,4,5,2,6,651-3012235,02/25/2007
Delia,salt and pepper,Female,Canada,3,6,2,5,2,4,651-3543705,11/25/2008
Sinead,black,Female,France,4,2,5,4,1,4,651-5074986,05/15/2014
Fenella,peaches and cream,Female,Germany,2,4,5,5,2,3,651-4625622,07/10/2011
Indra,brown,Female,Germany,2,2,3,5,4,2,651-8220632,02/08/2004
Bodacious,tabby,Female,Australia,2,6,6,6,7,2,651-4167897,11/07/2008
Jabberwocky,black,Female,New Zealand,4,5,5,3,3,3,651-6782331,07/07/2006
Chester-Ester,brown,Male,Thailand,5,7,5,2,1,3,651-5494750,01/07/2004
Jason,butterscotch,Male,New Zealand,3,6,7,3,6,5,651-6548713,03/02/2004
Shaka,black,Male,Germany,2,1,6,6,7,2,651-6353328,10/09/2008
Cassidy,salt and pepper,"",Thailand,1,4,2,6,5,1,651-5478248,06/28/2007
Herbie,tabby,Female,Canada,6,6,3,4,4,2,651-5848697,12/21/2006
Petunia,grey,Female,UK,1,1,3,7,1,7,651-5766411,03/24/2001
Hazel,striped,Female,New Zealand,5,6,5,5,2,1,651-6829735,01/15/2015
Glory,grey and brown,Female,Canada,5,4,5,5,1,3,651-8027874,12/13/2016
Colombo,black,Male,France,1,1,7,7,7,7,651-3519390,11/10/2014
Claret,grey and brown,Male,China,1,1,4,6,1,7,651-8286673,12/08/2013
Purrl,peaches and cream,Male,Australia,5,6,5,1,3,5,651-7468851,02/04/2006
Koolaid,salt and pepper,Male,Spain,4,6,5,3,5,5,651-2947684,10/17/2001
Courtney,orange,Male,Germany,3,5,6,2,2,7,651-8172059,11/21/2001
Dr. Spock,grey and black,Female,Canada,4,2,6,6,3,4,651-8266767,09/24/2013
Wuffy,black,Female,Australia,6,5,3,2,5,4,651-3022271,12/13/2012
Jocelyn,grey,Female,Germany,1,4,6,5,1,1,651-4814703,08/11/2008
Bob Meowerly,salt and pepper,Male,Canada,1,3,5,6,2,7,651-2563090,03/05/2013
Devo,brown,Male,Canada,4,1,6,6,1,1,651-8333699,01/24/2008
Chops,butterscotch,Male,France,2,2,5,5,2,3,651-2775183,02/29/2004
Briar,white,Male,Germany,4,4,7,3,4,5,651-7101029,10/23/2014
Salvador,salt and pepper,Female,Canada,4,6,7,7,1,1,651-6651718,10/16/2017
Zola,salt and pepper,Female,New Zealand,5,5,7,5,5,1,651-5528709,07/08/2017
Darius,striped,Male,New Zealand,2,1,5,6,1,2,651-5537465,02/06/2016
Rudolph,white,Female,Peru,1,4,6,5,1,5,651-6430225,11/30/2018
Harvey,black,Female,Germany,5,4,5,4,3,4,651-2392523,06/15/2014
Alfred,orange,Male,France,4,4,5,5,3,5,651-4502013,10/28/2016
Disraeli,tabby,Male,USA,3,4,5,4,2,3,651-6587804,04/21/2019
Gatsby,salt and pepper,Male,France,1,7,7,4,1,1,651-1554047,11/06/2003
Celeste,grey and black,Male,Thailand,3,6,6,6,1,3,651-8853183,05/19/2009
Chip,salt and pepper,Male,UK,1,1,5,7,2,2,651-4197232,02/15/2007
Percy,grey and black,Female,Peru,2,2,7,6,2,1,651-8027565,02/25/2012
Olivia,grey,Female,New Zealand,5,2,6,5,3,6,651-7082892,02/19/2007
Mufasa,white,Female,USA,5,1,7,7,1,4,651-6747797,03/16/2017
Smokey,white,Male,Spain,1,1,7,7,2,1,651-8891278,06/07/2017
Umberto,striped,"",Peru,6,3,7,7,5,6,651-2901234,08/02/2017
Buckley,striped,Female,Thailand,5,3,4,5,2,4,651-8668973,05/28/2007
Launcelot,tabby,Female,Australia,2,1,7,7,4,3,651-5732927,04/14/2007
Misty BLu,salt and pepper,Male,France,2,5,7,6,6,5,651-8428616,09/12/2012
Cheeto,striped,Male,France,5,2,6,6,5,5,651-8842057,10/26/2009
Kerry,salt and pepper,Female,USA,1,1,6,6,1,2,651-7834910,01/25/2019
Racoon,black,Female,USA,6,1,5,5,1,4,651-2231935,02/04/2004
Sissy,orange,Male,Spain,4,1,5,7,2,1,651-5188648,11/12/2008
Tibby,salt and pepper,Female,Australia,1,2,6,7,1,7,651-5822740,05/11/2015
Teezles,striped,Male,USA,2,2,3,5,1,6,651-7118632,09/05/2014
Dumpleton,butterscotch,Female,Australia,5,7,5,1,4,1,651-5599212,03/24/2014
Santapaws,grey,Male,New Zealand,2,2,7,7,2,2,651-8962789,12/14/2014
Freckles,orange,Female,Germany,1,1,7,1,1,1,651-2199343,04/09/2004
Eartha,peaches and cream,Male,Australia,1,5,4,6,1,1,651-6957432,11/03/2016
Bean,white,"",Peru,2,1,7,7,1,4,651-2241519,06/08/2001
Fibb,orange,Female,France,6,5,4,5,6,4,651-5779893,09/08/2006
Garfunkel,grey,Male,Germany,7,7,4,1,1,1,651-2144068,03/04/2017
Major,butterscotch,Female,Peru,3,3,2,3,2,6,651-6412084,01/17/2002
Odette,grey,Female,Canada,3,7,6,1,1,1,651-2193181,07/06/2013
Carrie,grey and black,Female,Canada,2,7,3,2,7,1,651-7309417,06/26/2014
Cat Benatar,striped,Female,China,2,6,5,5,1,1,651-5718948,03/14/2019
Baby Doll,striped,Male,Germany,1,6,4,3,1,4,651-3354236,12/24/2015
Bucky,white,Female,UK,1,4,7,4,6,2,651-5232211,10/01/2019
Houdini Magic Man,grey,Female,Peru,6,1,7,5,2,2,651-4716248,01/14/2017
Jingles,butterscotch,Male,Australia,1,1,7,7,1,3,651-4406062,12/04/2006
Indy,salt and pepper,Female,Australia,1,3,5,5,1,6,651-9002904,02/05/2004
Richochet,butterscotch,Female,Spain,1,6,7,5,1,1,651-3667716,08/07/2016
Potter,grey and black,Female,Australia,6,4,6,2,1,6,651-6004530,06/06/2009
Rosebud,peaches and cream,Female,Canada,1,1,7,7,1,6,651-6689902,03/22/2017
Chip,striped,Female,Canada,1,3,7,7,3,1,651-4373650,11/21/2014
Jamoca,peaches and cream,Male,USA,2,3,6,4,1,1,651-7696984,02/27/2019
Zenda,grey and brown,Male,Australia,2,7,3,1,4,1,651-6895294,11/09/2017
Phoenix,grey and black,"",USA,4,2,1,6,3,6,651-1715410,02/26/2014
Me-Too,grey,Female,Australia,1,2,5,4,1,2,651-3816753,03/12/2003
Daffodil,peaches and cream,Female,France,2,5,6,4,3,3,651-3488809,10/15/2019
Amazon,orange,Male,Canada,2,4,4,5,2,5,651-3569323,11/29/2012
Neptune,grey and brown,Male,USA,2,2,4,5,3,3,651-5257559,02/20/2017
China,brown,Female,Peru,5,2,6,6,5,6,651-5060709,01/04/2007
Major,black,Male,Canada,4,1,6,7,1,2,651-5251737,07/04/2012
Debra,grey and brown,Male,UK,2,2,6,7,6,7,651-5622477,07/10/2005
Mohawk,grey,Female,Peru,5,3,3,3,1,4,651-1636435,06/26/2014
Teeto,grey and brown,Male,Spain,1,1,7,6,4,2,651-3876265,03/20/2014
Sissy,white,Female,New Zealand,1,3,7,7,4,1,651-1979694,10/26/2018
Andy,white,Female,China,4,6,2,2,1,6,651-4393371,01/08/2008
Rumba,orange,Male,Peru,2,2,2,6,2,2,651-7133758,06/26/2004
Cat Stevens,salt and pepper,Female,Canada,4,2,6,5,2,3,651-2767860,04/06/2016
Fergie,grey and black,Female,Germany,1,3,7,7,5,1,651-4162515,11/16/2017
Tabitha,black,Male,UK,5,5,5,4,2,6,651-4329619,01/18/2000
Pip,salt and pepper,Male,France,2,1,6,7,6,6,651-5786666,05/30/2012
Won Ton,peaches and cream,Female,UK,3,3,5,4,5,2,651-6621362,08/06/2010
TJ,peaches and cream,Female,UK,2,3,3,5,4,3,651-8991752,05/08/2010
Libearty,salt and pepper,Male,Canada,1,2,5,7,1,3,651-6752969,08/28/2004
Bookie,black,Female,France,2,5,4,5,1,3,651-4260635,01/23/2012
Buggers,grey and brown,Male,New Zealand,5,2,6,5,1,4,651-5580577,09/19/2009
Piggy,butterscotch,Female,Spain,1,3,7,6,1,1,651-5716950,05/23/2017
Neneh,grey and brown,Male,Peru,1,2,7,7,2,2,651-8526615,05/19/2019
Sauda,white,Female,Germany,2,4,5,4,1,5,651-6416585,10/28/2012
Champers,white,Female,Spain,1,2,7,6,1,1,651-7261229,01/05/2016
Courvoisier,orange,Male,Canada,5,6,6,2,4,2,651-7393436,11/22/2014
Rookie,striped,Female,Australia,3,1,6,7,3,3,651-5246685,10/22/2012
Frederick,grey,Male,France,3,3,5,5,1,1,651-6248894,04/07/2010
Daz,peaches and cream,Male,China,5,5,5,3,3,3,651-5236158,11/18/2006
Bruna,salt and pepper,Female,Peru,2,3,5,6,2,3,651-3502740,03/30/2011
Bou-Tee-Waits,striped,Female,Canada,3,5,6,5,2,2,651-6990824,07/31/2006
Eugene,peaches and cream,Male,Australia,2,7,7,7,4,4,651-5761965,03/07/2015
Butch Catsidy,peaches and cream,Female,USA,6,4,5,5,2,7,651-5312379,12/28/2007
Church,grey,Female,Australia,5,6,5,4,2,5,651-8235459,06/18/2007
Pluto,white,Female,New Zealand,2,2,7,6,2,4,651-4130528,05/13/2016
Leprechaun,grey and black,Male,Thailand,1,4,5,4,2,4,651-6057790,05/07/2003
Katy Purry,brown,Female,UK,2,3,6,6,6,4,651-3118003,03/15/2016
Sauda,grey and black,Male,Australia,4,1,5,4,1,3,651-3937682,10/08/2009
Mancha,butterscotch,Female,China,4,5,6,6,1,3,651-6398169,06/10/2012
Irene,grey and brown,Male,New Zealand,2,2,6,6,3,7,651-3729086,07/30/2016
Curly,striped,Female,Peru,1,1,7,6,4,1,651-6956877,12/03/2016
Daz,white,Male,New Zealand,1,1,7,7,4,4,651-4331603,05/06/2011
Tatum,butterscotch,Male,China,1,3,5,5,1,1,651-3599023,08/03/2019
Fuzz Aldrin,grey and black,Female,Australia,1,1,7,7,1,4,651-8203642,11/19/2014
Huggie,salt and pepper,Male,China,2,5,2,5,1,4,651-6862315,12/08/2004
Dot,orange,Male,New Zealand,2,5,3,5,1,2,651-8122238,06/27/2014
Liszt,brown,Male,UK,4,1,7,7,1,4,651-5897978,05/22/2008
Jazz,white,Female,Thailand,5,2,5,5,1,5,651-5655707,05/12/2011
Kramer,butterscotch,Female,Australia,4,6,6,3,1,7,651-1985493,08/19/2015
Jabber,butterscotch,Female,Peru,1,1,6,6,1,1,651-7925319,07/25/2013
Pascoe,tabby,Male,France,3,5,4,7,4,2,651-8246528,09/25/2013
Freckles,tabby,Male,Thailand,3,3,5,6,3,2,651-6446522,01/20/2018
Chelsea,grey and black,Male,Spain,5,1,6,7,6,6,651-4613448,02/08/2020
Cromwell,salt and pepper,Male,Peru,1,1,6,7,1,4,651-4487924,02/03/2012
Tansy,striped,Female,Germany,1,7,6,1,1,2,651-5102220,07/26/2009
Jean,brown,Male,New Zealand,1,1,6,5,5,6,651-2162343,03/20/2016
Gizmo,black,Female,Spain,5,1,7,7,2,5,651-3645163,03/25/2018
Butterscotch,brown,Male,Germany,1,4,7,7,2,1,651-6427174,01/29/2010
Mark,salt and pepper,Male,Canada,3,1,5,6,6,3,651-7821024,05/30/2001
Asahi,butterscotch,Female,Canada,3,4,3,5,1,2,651-6565366,09/23/2017
Jefferson,tabby,Female,New Zealand,1,1,1,7,1,1,651-2327865,08/05/2012
Corona,salt and pepper,Female,France,3,3,6,6,1,6,651-4680265,03/25/2009
Melanie,brown,Male,Germany,1,1,7,7,7,1,651-2995093,09/24/2014
Abracadabra,grey and brown,Female,USA,1,4,5,2,1,1,651-8248361,10/02/2009
Moggy,grey and black,Female,Spain,2,1,7,5,1,1,651-5345615,12/25/2013
Meowser,butterscotch,Female,France,2,2,5,6,1,1,651-5223470,06/27/2013
Monkey,orange,Male,France,5,4,7,3,1,6,651-1849615,11/23/2018
Buster,salt and pepper,Female,Peru,2,3,5,5,3,3,651-8906939,10/10/2015
Wabush,striped,Male,Germany,5,1,7,7,5,7,651-2596038,03/17/2018
Toya,grey and black,Female,Thailand,1,6,6,6,1,2,651-1711054,06/18/2000
Chuck,tabby,Male,France,2,2,7,6,1,2,651-2418329,01/06/2007
Beebop,grey,Female,Germany,1,5,7,6,3,2,651-5859493,08/27/2009
Coco,grey and black,Female,France,4,7,7,2,1,2,651-3690114,10/26/2019
Legs,butterscotch,Female,USA,2,3,5,5,2,5,651-4076741,11/10/1999
Cupid,grey and brown,Male,Peru,3,4,4,5,4,4,651-5717098,09/08/2017
Castro,brown,Female,Spain,1,7,7,1,1,7,651-2409243,04/11/2015
Cassidy,tabby,Female,Canada,3,7,5,4,1,2,651-7841047,02/14/2003
Cheezels,orange,Female,China,2,3,6,6,2,4,651-2634979,07/29/2002
Cabernet,white,Female,UK,1,7,7,5,5,1,651-6248561,04/18/2005
Baby Doll,grey and brown,Female,Peru,2,2,7,7,5,2,651-6862408,06/26/2009
Lachlan,white,Male,New Zealand,1,3,7,5,2,5,651-3443055,06/18/2006
Ashley,peaches and cream,Female,France,6,6,2,2,2,3,651-8271436,09/19/2012
Ginger Spice,butterscotch,Male,Peru,3,5,6,3,3,3,651-8808717,07/01/2010
Bernstein,orange,Male,Peru,7,2,6,6,1,6,651-2720497,11/11/2008
Anna,grey and brown,Male,USA,6,7,6,1,1,1,651-6752144,10/14/1999
Bugger,peaches and cream,Female,USA,4,1,1,2,1,2,651-3196489,11/26/2015
Amaretto,orange,Male,New Zealand,1,6,5,5,1,5,651-2893344,04/18/2013
Heidi,grey,Male,China,4,3,3,4,1,4,651-6388144,09/27/2013
Kelly,tabby,Female,UK,1,1,7,7,5,5,651-2621919,11/18/2011
Canyon,grey and brown,Male,New Zealand,1,5,7,5,1,1,651-7589887,03/27/2018
Catzilla,peaches and cream,Male,Peru,1,6,5,6,6,3,651-4691208,05/27/2010
Marilyn,tabby,Female,France,6,5,7,6,5,4,651-3314906,11/11/2008
Isaac,grey and brown,Female,New Zealand,6,4,4,4,2,2,651-8141926,08/27/1999
Arthur,butterscotch,Female,Germany,2,5,3,3,1,1,651-6969038,01/22/2006
Tweedledum,grey and black,Female,Thailand,2,2,6,6,1,7,651-3198495,12/09/2008
Charisma,white,Male,France,3,3,4,3,3,4,651-2025817,02/16/2020
Poser,peaches and cream,Female,Peru,1,1,7,7,1,1,651-5030127,05/30/2006
Molly,salt and pepper,Male,UK,1,4,4,4,1,7,651-5632687,03/02/2003
Buster,grey and brown,Female,Germany,2,2,5,7,1,5,651-3057978,04/18/2015
Basilisk,orange,Male,Canada,6,1,7,6,1,1,651-8004316,05/28/2013
Mokey Bob,black,Female,Canada,1,1,6,7,1,6,651-4984993,11/12/2016
Demi Meower,orange,Male,France,1,3,7,5,5,5,651-2563752,06/04/2018
Eartha,grey,Male,USA,7,1,7,7,4,1,651-7198291,07/11/2007
Teeto,orange,Female,Canada,1,5,7,7,1,4,651-5124337,10/07/2016
Roxanne,butterscotch,Female,Thailand,2,5,6,5,1,4,651-2092237,03/04/2007
Willaby,salt and pepper,Female,China,5,4,7,5,1,4,651-1654900,04/11/2003
Fuzzinator,grey and black,Male,China,4,4,5,6,5,5,651-2881595,11/13/2007
Potter,brown,Male,Spain,1,1,7,7,2,1,651-8868240,08/10/2016
Romeo,black,Male,Thailand,1,5,6,4,2,6,651-7805573,01/29/2014
Suki,salt and pepper,Male,UK,2,2,7,7,2,5,651-2459560,03/05/2009
Clarissa,tabby,Female,New Zealand,1,1,4,6,2,4,651-8074932,08/23/2015
Veruca,butterscotch,Male,Canada,5,3,1,6,3,5,651-2986261,05/30/2009
Isolde,peaches and cream,Male,China,1,4,6,2,4,2,651-6366479,07/26/2015
Puss,striped,Female,France,1,1,7,7,2,2,651-6236983,09/01/2013
Abba,orange,Female,New Zealand,1,1,5,6,1,1,651-7098763,03/01/2020
Boyd,white,Female,Germany,7,5,6,6,1,1,651-6834453,06/05/2009
Collyer,black,Male,Canada,2,4,1,7,5,2,651-6228510,12/10/2008
Fleas Witherspoon,peaches and cream,Female,Germany,1,2,3,6,4,3,651-1506170,02/02/2013
Stormy,brown,Female,Germany,1,2,7,6,3,3,651-2345130,10/06/2015
Scoop,grey and black,Female,China,2,3,5,5,2,3,651-4454958,10/19/2009
Bubbles,peaches and cream,Female,Peru,7,7,6,1,1,6,651-4137488,05/06/2014
Mijbil,striped,Female,Peru,4,3,5,6,4,1,651-8520128,09/22/2017
Chrissy,black,Female,Germany,2,6,6,4,2,1,651-8418411,06/04/2019
Aristarchus,grey,Male,China,2,1,5,6,1,2,651-5992274,05/08/2018
Pretzel,grey and black,Female,Thailand,1,2,5,5,3,2,651-5694772,07/21/2017
Hudson,tabby,Male,Thailand,2,2,5,6,2,4,651-4077619,01/08/2016
Cosmic,salt and pepper,Female,Thailand,5,4,4,5,1,1,651-8627263,08/03/2017
Zipper,butterscotch,Male,New Zealand,5,3,6,5,4,5,651-6305284,09/26/2016
Legs,grey and black,Female,UK,1,1,6,7,1,2,651-5742523,07/07/2013
Tekia,peaches and cream,Male,USA,7,2,7,6,5,4,651-5350905,09/16/2014
Treacle,black,Male,China,2,1,6,7,1,2,651-3711649,01/04/2017
Panthro,salt and pepper,Male,New Zealand,2,7,2,1,1,1,651-3994163,02/25/2012
KC,grey and brown,Male,China,1,3,7,5,3,2,651-5069471,08/13/2017
Pip,peaches and cream,Female,Germany,7,7,2,5,1,4,651-4884194,11/15/2016
Parsley,peaches and cream,Female,Australia,1,6,7,7,1,1,651-1672809,09/24/2002
Oprah Whisker,tabby,Female,Spain,5,4,5,5,5,2,651-3939699,01/25/2011
Louis,white,Male,China,2,4,7,4,1,5,651-4460373,11/05/2013
Joanne,orange,Female,Germany,1,4,7,6,2,1,651-2241251,01/24/2019
Tangelo,grey and brown,Female,New Zealand,4,2,5,6,4,3,651-5939758,08/11/2004
Sparkle,salt and pepper,Female,China,1,5,3,5,1,1,651-5960729,08/22/2016
Rembrandt,black,Female,Germany,1,2,5,7,1,5,651-6430708,04/28/2011
Twiggy,brown,Male,China,2,7,3,1,3,5,651-6979948,01/28/2013
Tracey,grey and brown,Female,China,1,1,5,7,1,1,651-7605104,01/19/2014
Actaeon,salt and pepper,Unsure,Australia,1,1,7,7,1,4,651-4081244,05/30/2013
Trust,tabby,Male,Thailand,3,1,2,4,1,1,651-6214857,12/19/2014
Muffy,salt and pepper,Female,USA,3,7,6,1,4,4,651-7461795,11/25/2011
Cashmere,white,Male,Peru,4,4,6,5,3,5,651-6426695,01/24/2014
Mr. Moky,brown,Male,Australia,1,4,3,2,1,5,651-7232565,07/31/2008
Wonka,striped,Female,France,1,1,5,7,7,4,651-5796382,05/02/2012
Noel,peaches and cream,Female,USA,2,3,6,3,1,4,651-5055525,01/27/2002
Tekia,peaches and cream,Female,Peru,2,4,5,6,6,3,651-3743171,10/24/2000
Sheena,butterscotch,Female,Canada,2,5,5,5,2,2,651-6134076,03/29/2003
Boneprone,striped,Female,Spain,2,4,5,4,1,4,651-1532461,03/02/2016
Atali,white,Female,China,5,1,1,7,1,1,651-8044401,09/24/2016
Alton,black,Female,Germany,2,2,5,5,5,6,651-4588433,04/14/2011
Edison,salt and pepper,Male,Peru,2,2,5,7,2,2,651-7185285,05/05/1999
Findi,grey and brown,Female,Thailand,3,5,3,5,3,2,651-2155235,02/08/2008
Courvoisier,grey,Female,Spain,3,2,7,5,3,4,651-6129574,09/12/2010
Percy,striped,Male,France,2,1,1,1,1,4,651-8564101,10/23/2014
Monepenny,tabby,Male,UK,1,2,6,5,1,1,651-6375832,02/22/2005
Monet,brown,Male,Canada,5,3,5,6,2,7,651-1634055,08/05/2015
Spice,butterscotch,Female,Spain,1,4,7,7,5,2,651-4352930,07/12/2017
Brownie,black,Male,Thailand,2,5,3,5,5,3,651-8460875,11/23/2004
Aristotle,peaches and cream,Male,Australia,1,4,7,7,1,7,651-4530687,08/17/2009
Rembrandt,tabby,Female,Spain,2,2,5,5,2,2,651-5565996,10/25/2017
Hazel,brown,Male,USA,4,6,4,1,1,1,651-5224136,04/29/2013
Jezebel,grey and brown,Male,China,4,2,3,6,3,7,651-4217454,04/13/2012
Bartok,grey and brown,Male,Thailand,4,2,6,7,6,7,651-8998399,01/23/2002
Tiki,salt and pepper,Female,Germany,2,5,6,6,1,6,651-8665283,09/06/2016
The Great Catsby,orange,Male,France,1,2,6,6,3,6,651-4165687,05/09/2001
Heathcliff,grey and black,Male,USA,1,5,3,5,1,5,651-5261387,07/31/2004
Cheeky,brown,Female,Canada,6,1,5,3,7,6,651-3946189,03/13/2010
Ziggles,grey and black,Female,Spain,1,1,5,7,2,5,651-7034992,03/20/2017
Ichabod,orange,Male,New Zealand,2,3,4,6,2,2,651-2736760,03/15/2001
Miss Chevious,grey and brown,Male,Thailand,5,3,3,3,2,5,651-5789584,04/01/2010
Lickorish,butterscotch,Female,Peru,5,5,6,5,1,5,651-8781646,08/26/2008
Scratches,orange,Female,UK,1,1,4,7,3,6,651-7488576,12/11/2015
Triton,grey and black,Male,New Zealand,2,1,6,7,4,4,651-2409823,11/14/2003
Buggers,grey and brown,Female,Canada,5,5,5,6,2,5,651-5781283,12/30/2018
Waylon,salt and pepper,Female,Australia,1,7,1,1,1,1,651-2332046,07/09/2019
Pumpkin,white,Female,Peru,3,3,4,5,1,2,651-6998700,11/23/2004
Chad,butterscotch,Female,Spain,5,6,5,3,1,1,651-8108861,11/29/2010
Delta,peaches and cream,Male,Peru,3,1,6,6,2,6,651-2580138,04/15/2013
Heathcliff,salt and pepper,Male,USA,4,2,5,5,4,4,651-7752873,08/11/2004
Mistoffelees,peaches and cream,Male,UK,2,1,7,7,3,2,651-4602983,05/07/2012
Poopy,grey,Male,USA,4,6,6,6,1,5,651-1719185,02/28/2005
Poppy,white,Male,UK,1,2,7,6,4,3,651-2918260,06/03/2017
Gwyneth,butterscotch,Male,USA,3,1,7,7,1,6,651-7720774,07/07/2010
Appollinaris,grey,Male,Peru,1,4,1,4,1,1,651-5854495,10/14/2017
Earvin,peaches and cream,Female,Peru,2,1,6,7,2,3,651-6731541,06/01/2018
Slobberchops,grey,Male,Germany,1,6,6,6,1,1,651-9016827,05/14/2016
CC,grey,Male,China,2,1,6,1,1,1,651-4265410,11/07/2019
Madonna,brown,Male,UK,2,2,3,5,1,2,651-6933022,11/09/2012
Clawsome,tabby,Female,China,1,6,4,2,1,1,651-5877858,01/13/2005
Madeira,grey and black,Female,USA,3,5,5,5,2,4,651-4674904,12/10/2009
Sugarfoot,tabby,Female,France,2,3,6,5,1,4,651-7516036,11/05/2007
Fenella,grey and black,Female,Spain,1,3,5,4,1,4,651-2248936,05/29/2007
Buster,grey and brown,Male,USA,7,2,7,7,3,6,651-1621803,06/03/2003
Foxglove,tabby,Male,USA,1,5,6,6,1,4,651-4323165,01/01/2017
Lizzie,grey,Female,Thailand,6,4,7,6,1,4,651-5363619,12/12/2019
Emily,brown,Female,Germany,5,2,5,7,5,2,651-7397403,07/14/2010
Sergei,brown,Female,China,5,1,6,7,5,7,651-8104088,04/22/2001
Alton,tabby,Female,New Zealand,2,3,5,7,2,2,651-6588694,12/24/2019
Wiggles,white,Female,Germany,6,1,1,7,4,7,651-5416013,07/01/2014
Destiny,peaches and cream,Male,Canada,5,3,5,4,2,4,651-5828593,05/12/2008
Chicanery,grey,Female,Canada,4,5,4,6,4,4,651-5878073,10/03/2019
Allegra,tabby,Male,UK,3,6,5,1,1,4,651-4314199,04/07/2016
Vivaldi,black,Female,UK,2,5,6,5,5,1,651-5460295,10/10/2015
Callisto,peaches and cream,Male,Thailand,2,3,6,6,3,3,651-3088204,07/23/2002
Bluey,tabby,Female,Thailand,3,2,6,6,5,3,651-6070324,10/03/2018
Nibble,white,Female,Thailand,1,1,7,7,1,1,651-8082121,05/22/2015
Ethan,brown,Male,Spain,3,5,6,3,1,3,651-3202693,04/05/2014
Cyd,striped,Male,Germany,1,1,4,7,4,1,651-5498221,11/02/2015
Spice,grey and black,Male,Spain,2,1,7,7,1,2,651-9001111,07/20/2014
Muffy,salt and pepper,Female,USA,5,1,5,6,1,5,651-3593679,06/16/2012
Little Kitty,brown,Male,Australia,1,5,6,5,3,4,651-8479432,02/01/2005
Bilbo,black,Female,New Zealand,5,5,5,5,1,3,651-7937033,04/13/2014
Peace,peaches and cream,Male,Germany,5,5,5,3,1,2,651-6015189,06/26/2013
Calypso,tabby,Female,Spain,1,6,5,5,2,4,651-7265413,06/09/2012
Libearty,peaches and cream,Male,New Zealand,1,6,6,1,1,2,651-4814949,11/05/2002
Barkney Spears,striped,Male,Thailand,2,3,6,5,1,2,651-4039803,05/24/2010
Jazz,peaches and cream,Male,Peru,1,1,6,6,1,1,651-6696433,02/28/2000
Desiree,grey and brown,Male,UK,4,7,6,1,1,1,651-3389619,07/08/2019
Fajita,butterscotch,Male,New Zealand,1,1,7,7,1,1,651-3696382,12/11/2013
Sphinx,black,Female,Thailand,1,2,5,5,1,5,651-1948413,05/15/2010
Matty,orange,Female,Peru,2,6,6,6,2,4,651-7783456,01/21/2006
Fat Cat,peaches and cream,Male,UK,4,2,6,6,1,2,651-1530384,01/10/2000
